metric,value,window,captured_on
net_followers,31440,May 17 - Jun 14,2026-06-14
interactions,1029391,May 17 - Jun 14,2026-06-14
accounts_reached,1221538,May 17 - Jun 14,2026-06-14
views_followers_pct,49.4,May 17 - Jun 14,2026-06-14
views_non_followers_pct,50.6,May 17 - Jun 14,2026-06-14
post_views,3300000,May 17 - Jun 14,2026-06-14
reel_views,3000000,May 17 - Jun 14,2026-06-14
post_comments,1500,May 17 - Jun 14,2026-06-14
reel_comments,1500,May 17 - Jun 14,2026-06-14
profile_visits,124733,May 17 - Jun 14,2026-06-14
